seed_id,strategy,task_id,quantile
4,mhat_Q30,T3,0.590140678238808
4,mhat_Q30,T4,0.5922453653043754
4,mhat_Q30,T5,0.5890556778107368
5,mhat_Q05,T1,0.39666363753212186
5,mhat_Q05,T2,0.3901828318313769
5,mhat_Q05,T3,0.3901457699655117
5,mhat_Q05,T4,0.39243958690549874
5,mhat_Q05,T5,0.394886870284511
5,mhat_Q10,T1,0.4608098350828265
5,mhat_Q10,T2,0.45784895801753467
5,mhat_Q10,T3,0.4561461679391849
5,mhat_Q10,T4,0.4573975199461889
5,mhat_Q10,T5,0.46153816295484246
5,mhat_Q20,T1,0.5395615571379652
5,mhat_Q20,T2,0.5373033686864264
5,mhat_Q20,T3,0.535191685478585
5,mhat_Q20,T4,0.5365885273495826
5,mhat_Q20,T5,0.5384376340684026
5,mhat_Q30,T1,0.5940436056717988
5,mhat_Q30,T2,0.5929561912068876
5,mhat_Q30,T3,0.588845284673927
5,mhat_Q30,T4,0.5918672353722064
5,mhat_Q30,T5,0.5925790343895925
6,mhat_Q05,T1,0.39848266997194737
6,mhat_Q05,T2,0.4017656780628746
6,mhat_Q05,T3,0.39663611634091006
6,mhat_Q05,T4,0.4002835398384655
6,mhat_Q05,T5,0.4006982411832067
6,mhat_Q10,T1,0.4564373560618291
6,mhat_Q10,T2,0.4614126408275941
6,mhat_Q10,T3,0.4575876053823173
6,mhat_Q10,T4,0.45835698010113796
6,mhat_Q10,T5,0.4613871930930221
6,mhat_Q20,T1,0.5369743376601022
6,mhat_Q20,T2,0.5400411163660439
6,mhat_Q20,T3,0.5339022326300299
6,mhat_Q20,T4,0.5374093271222895
6,mhat_Q20,T5,0.5373477107299925
6,mhat_Q30,T1,0.5949989914273686
6,mhat_Q30,T2,0.596838707284658
6,mhat_Q30,T3,0.5929233278682013
6,mhat_Q30,T4,0.5950216005971102
6,mhat_Q30,T5,0.5950697637267718
7,mhat_Q05,T1,0.3988716737047629
7,mhat_Q05,T2,0.4005664168656486
7,mhat_Q05,T3,0.39655397937012754
7,mhat_Q05,T4,0.399913528472324
7,mhat_Q05,T5,0.4031723609426578
7,mhat_Q10,T1,0.4635622119111571
7,mhat_Q10,T2,0.4627967410537889
7,mhat_Q10,T3,0.4582003556033616
7,mhat_Q10,T4,0.460615311231054
7,mhat_Q10,T5,0.4614659151408183
7,mhat_Q20,T1,0.5368656721659819
7,mhat_Q20,T2,0.5362165865704918
7,mhat_Q20,T3,0.534028087708293
7,mhat_Q20,T4,0.5357185736502867
7,mhat_Q20,T5,0.5364721297683477
7,mhat_Q30,T1,0.5927179339393108
7,mhat_Q30,T2,0.5942841308255818
7,mhat_Q30,T3,0.5903856865235838
7,mhat_Q30,T4,0.5928761823330044
7,mhat_Q30,T5,0.5928048904831746
8,mhat_Q05,T1,0.39439318565838344
8,mhat_Q05,T2,0.39798243512523923
8,mhat_Q05,T3,0.39459036263921665
8,mhat_Q05,T4,0.3961786630315229
8,mhat_Q05,T5,0.4010956265169925
8,mhat_Q10,T1,0.459591780550217
8,mhat_Q10,T2,0.46195626579300747
8,mhat_Q10,T3,0.45757931287823445
8,mhat_Q10,T4,0.45910016704000045
8,mhat_Q10,T5,0.46184497846227346
8,mhat_Q20,T1,0.535166548004297
8,mhat_Q20,T2,0.5384916503243803
8,mhat_Q20,T3,0.5345788630623167
8,mhat_Q20,T4,0.5342846955494748
8,mhat_Q20,T5,0.534819801776615
8,mhat_Q30,T1,0.5915717784420087
8,mhat_Q30,T2,0.5929162516372279
8,mhat_Q30,T3,0.5905279405292877
8,mhat_Q30,T4,0.5897131045819459
8,mhat_Q30,T5,0.590735365856925
9,mhat_Q05,T1,0.40008346987922416
9,mhat_Q05,T2,0.39940342375833027
9,mhat_Q05,T3,0.3970861909290719
9,mhat_Q05,T4,0.3971092195578497
9,mhat_Q05,T5,0.3967541732664346
9,mhat_Q10,T1,0.46086208074814644
9,mhat_Q10,T2,0.4604691214816615
9,mhat_Q10,T3,0.458421660068292
9,mhat_Q10,T4,0.46003509468344084
9,mhat_Q10,T5,0.4604691214816615
9,mhat_Q20,T1,0.5411825222937422
9,mhat_Q20,T2,0.5410589192199805
9,mhat_Q20,T3,0.538077164494595
9,mhat_Q20,T4,0.5384614935941758
9,mhat_Q20,T5,0.5404546036647881
9,mhat_Q30,T1,0.5958820205034988
9,mhat_Q30,T2,0.5964813872680957
9,mhat_Q30,T3,0.5920635362201404
9,mhat_Q30,T4,0.5926982638596532
9,mhat_Q30,T5,0.5937654215037557
